,Tempo,Temperatura,Umidade,Vento,Joga
57,Ensolarado,22,89,Não,Não
58,Ensolarado,22,75,Não,Sim
59,Ensolarado,27,99,Sim,Não
60,Ensolarado,27,78,Não,Sim
61,Ensolarado,20,77,Não,Sim
62,Chuvoso,18,60,Não,Sim
63,Ensolarado,22,73,Sim,Sim
64,Ensolarado,26,61,Sim,Sim
65,Nublado,18,87,Sim,Sim
66,Ensolarado,20,89,Sim,Não
67,Chuvoso,30,97,Não,Sim
68,Ensolarado,30,63,Sim,Sim
69,Chuvoso,21,60,Sim,Não
70,Chuvoso,18,67,Não,Sim
71,Ensolarado,18,88,Não,Não
72,Ensolarado,25,98,Não,Não
73,Chuvoso,19,62,Sim,Não
74,Chuvoso,29,91,Sim,Não
75,Chuvoso,25,69,Sim,Não
76,Chuvoso,24,69,Não,Sim
77,Ensolarado,27,78,Não,Sim
78,Ensolarado,27,93,Sim,Não
79,Ensolarado,19,92,Não,Não
80,Chuvoso,23,82,Não,Sim
81,Nublado,23,87,Não,Sim
82,Ensolarado,20,91,Sim,Não
83,Ensolarado,28,66,Não,Sim
84,Ensolarado,19,88,Não,Não
85,Ensolarado,29,67,Sim,Sim
86,Chuvoso,18,60,Sim,Não
87,Nublado,23,62,Não,Sim
88,Chuvoso,29,83,Não,Sim
89,Nublado,22,82,Sim,Sim
90,Ensolarado,28,67,Sim,Sim
91,Chuvoso,26,96,Não,Sim
92,Chuvoso,18,62,Não,Sim
93,Nublado,24,92,Não,Sim
94,Chuvoso,22,87,Não,Sim
95,Nublado,22,67,Sim,Sim
96,Nublado,19,93,Não,Sim
97,Nublado,28,94,Não,Sim
98,Ensolarado,20,91,Sim,Não
99,Ensolarado,24,83,Não,Sim
100,Ensolarado,23,73,Sim,Sim
101,Nublado,29,91,Não,Sim
102,Ensolarado,19,75,Não,Sim
103,Nublado,23,63,Sim,Sim
104,Chuvoso,19,96,Sim,Não
105,Ensolarado,19,80,Não,Sim
106,Nublado,19,73,Não,Sim
107,Chuvoso,28,90,Não,Sim
108,Ensolarado,20,77,Sim,Sim
109,Ensolarado,19,66,Não,Sim
110,Ensolarado,21,69,Sim,Sim
111,Ensolarado,26,66,Sim,Sim
112,Chuvoso,23,92,Não,Sim
113,Chuvoso,18,82,Sim,Não
114,Nublado,25,80,Não,Sim
115,Chuvoso,29,78,Não,Sim
116,Chuvoso,24,78,Não,Sim
117,Ensolarado,27,95,Não,Não
118,Chuvoso,20,88,Não,Sim
119,Nublado,18,77,Sim,Sim
120,Chuvoso,22,61,Sim,Não
121,Chuvoso,30,60,Não,Sim
122,Ensolarado,21,64,Não,Sim
123,Ensolarado,27,79,Sim,Sim
124,Ensolarado,25,70,Sim,Sim
125,Nublado,18,61,Sim,Sim
126,Chuvoso,27,62,Sim,Não
127,Chuvoso,18,82,Não,Sim
128,Ensolarado,29,71,Não,Sim
129,Nublado,21,79,Sim,Sim
130,Nublado,25,64,Não,Sim
131,Ensolarado,22,96,Sim,Não
132,Ensolarado,19,97,Não,Não
133,Ensolarado,23,89,Sim,Não
134,Chuvoso,22,68,Não,Sim
135,Ensolarado,19,93,Sim,Não
136,Nublado,30,94,Sim,Sim
137,Chuvoso,28,81,Não,Sim
138,Ensolarado,28,83,Sim,Sim
139,Chuvoso,28,76,Não,Sim
140,Chuvoso,20,69,Não,Sim
141,Ensolarado,26,89,Sim,Não
142,Nublado,24,82,Não,Sim
143,Ensolarado,24,91,Não,Não
144,Ensolarado,28,76,Não,Sim
145,Ensolarado,23,76,Não,Sim
146,Nublado,25,73,Não,Sim
147,Nublado,21,68,Sim,Sim
148,Ensolarado,25,99,Não,Não
149,Ensolarado,21,61,Não,Sim
150,Chuvoso,25,84,Não,Sim
151,Ensolarado,26,98,Não,Não
152,Ensolarado,20,68,Não,Sim
153,Nublado,20,81,Sim,Sim
154,Chuvoso,28,63,Não,Sim
155,Ensolarado,30,85,Sim,Sim
156,Nublado,19,88,Sim,Sim
157,Chuvoso,30,93,Sim,Não
158,Ensolarado,27,82,Sim,Sim
159,Chuvoso,20,96,Não,Sim
160,Ensolarado,20,70,Sim,Sim
161,Nublado,22,65,Sim,Sim
162,Nublado,22,77,Não,Sim
163,Nublado,19,80,Não,Sim
164,Ensolarado,29,95,Não,Não
165,Chuvoso,27,97,Sim,Não
166,Ensolarado,30,93,Não,Não
167,Ensolarado,23,76,Não,Sim
168,Ensolarado,22,96,Sim,Não
169,Nublado,23,84,Não,Sim
170,Nublado,18,97,Não,Sim
171,Ensolarado,22,71,Não,Sim
172,Nublado,26,82,Não,Sim
173,Ensolarado,29,81,Sim,Sim
174,Nublado,27,80,Não,Sim
175,Ensolarado,19,86,Não,Não
176,Nublado,18,90,Sim,Sim
177,Ensolarado,27,65,Não,Sim
178,Chuvoso,30,86,Sim,Não
179,Ensolarado,28,99,Não,Não
180,Ensolarado,26,93,Sim,Não
181,Ensolarado,27,71,Sim,Sim
182,Chuvoso,26,66,Sim,Não
183,Chuvoso,26,69,Sim,Não
184,Ensolarado,23,76,Não,Sim
185,Nublado,25,85,Sim,Sim
186,Chuvoso,28,80,Não,Sim
187,Nublado,30,87,Sim,Sim
188,Nublado,18,61,Sim,Sim
189,Ensolarado,27,60,Sim,Sim
190,Ensolarado,21,95,Não,Não
191,Chuvoso,18,85,Sim,Não
192,Chuvoso,25,88,Não,Sim
193,Nublado,18,80,Não,Sim
194,Ensolarado,20,70,Não,Sim
195,Ensolarado,30,99,Não,Não
196,Chuvoso,21,70,Não,Sim
197,Chuvoso,25,95,Não,Sim
198,Chuvoso,23,98,Não,Sim
199,Chuvoso,27,99,Não,Sim
200,Nublado,29,94,Não,Sim
201,Ensolarado,24,93,Sim,Não
202,Ensolarado,25,83,Sim,Sim
203,Chuvoso,19,81,Sim,Não
204,Nublado,30,64,Sim,Sim
205,Ensolarado,27,92,Sim,Não
206,Ensolarado,28,95,Não,Não
207,Nublado,25,79,Não,Sim
208,Ensolarado,20,78,Não,Sim
209,Ensolarado,24,94,Não,Não
210,Nublado,20,76,Não,Sim
211,Nublado,24,93,Não,Sim
212,Nublado,28,68,Não,Sim
213,Ensolarado,29,85,Sim,Sim
214,Chuvoso,30,61,Sim,Não
215,Ensolarado,19,68,Sim,Sim
216,Ensolarado,27,68,Sim,Sim
217,Chuvoso,23,99,Não,Sim
218,Nublado,20,76,Não,Sim
219,Chuvoso,20,60,Não,Sim
220,Nublado,26,84,Sim,Sim
221,Nublado,24,99,Não,Sim
222,Ensolarado,22,84,Não,Sim
223,Ensolarado,29,98,Não,Não
224,Ensolarado,27,94,Sim,Não
225,Ensolarado,24,62,Não,Sim
226,Chuvoso,26,96,Sim,Não
227,Ensolarado,18,89,Sim,Não
228,Chuvoso,24,97,Sim,Não
229,Nublado,23,93,Sim,Sim
230,Chuvoso,27,71,Não,Sim
231,Nublado,29,78,Sim,Sim
232,Nublado,26,96,Sim,Sim
233,Nublado,18,76,Não,Sim
234,Ensolarado,30,69,Não,Sim
235,Chuvoso,21,71,Sim,Não
236,Ensolarado,26,75,Não,Sim
237,Ensolarado,21,83,Sim,Sim
238,Nublado,27,78,Sim,Sim
239,Ensolarado,20,67,Sim,Sim
240,Chuvoso,26,90,Sim,Não
241,Chuvoso,30,80,Não,Sim
242,Chuvoso,19,76,Sim,Não
243,Ensolarado,21,82,Não,Sim
244,Ensolarado,23,96,Não,Não
245,Chuvoso,19,75,Não,Sim
246,Nublado,25,65,Não,Sim
247,Chuvoso,25,67,Sim,Não
248,Chuvoso,18,84,Não,Sim
249,Chuvoso,29,77,Sim,Não
250,Ensolarado,20,84,Não,Sim
251,Ensolarado,27,71,Não,Sim
252,Chuvoso,26,74,Sim,Não
253,Ensolarado,22,85,Sim,Sim
254,Ensolarado,23,85,Sim,Sim
255,Nublado,21,91,Não,Sim
256,Chuvoso,27,69,Não,Sim
257,Nublado,19,75,Sim,Sim
258,Nublado,28,66,Sim,Sim
259,Ensolarado,25,76,Sim,Sim
260,Nublado,28,82,Sim,Sim
261,Chuvoso,30,85,Não,Sim
262,Ensolarado,23,80,Sim,Sim
263,Nublado,22,81,Sim,Sim
264,Chuvoso,26,66,Sim,Não
265,Chuvoso,18,73,Sim,Não
266,Nublado,22,74,Não,Sim
267,Chuvoso,23,66,Sim,Não
268,Ensolarado,22,68,Não,Sim
269,Ensolarado,23,67,Sim,Sim
270,Chuvoso,23,82,Sim,Não
271,Chuvoso,24,88,Não,Sim
272,Chuvoso,21,77,Sim,Não
273,Chuvoso,28,90,Não,Sim
274,Nublado,25,89,Não,Sim
275,Nublado,24,98,Sim,Sim
276,Chuvoso,26,94,Não,Sim
277,Nublado,24,77,Não,Sim
278,Chuvoso,20,98,Não,Sim
279,Chuvoso,20,76,Não,Sim
280,Chuvoso,25,73,Não,Sim
281,Ensolarado,22,90,Não,Não
282,Ensolarado,21,83,Não,Sim
283,Ensolarado,25,94,Não,Não
284,Nublado,23,93,Sim,Sim
285,Ensolarado,19,62,Sim,Sim
286,Nublado,21,96,Não,Sim
287,Nublado,29,99,Sim,Sim
288,Ensolarado,28,85,Não,Sim
289,Nublado,21,82,Não,Sim
290,Ensolarado,23,98,Sim,Não
291,Ensolarado,23,74,Não,Sim
292,Chuvoso,18,63,Não,Sim
293,Ensolarado,25,88,Não,Não
294,Ensolarado,23,81,Não,Sim
295,Nublado,20,84,Sim,Sim
296,Chuvoso,26,72,Não,Sim
297,Ensolarado,19,77,Não,Sim
298,Nublado,28,92,Não,Sim
299,Ensolarado,25,75,Sim,Sim
300,Ensolarado,27,61,Não,Sim
301,Nublado,20,94,Sim,Sim
302,Nublado,30,93,Sim,Sim
303,Nublado,29,89,Não,Sim
304,Chuvoso,22,72,Não,Sim
305,Chuvoso,23,72,Sim,Não
306,Nublado,27,77,Não,Sim
307,Ensolarado,23,91,Sim,Não
308,Chuvoso,21,91,Sim,Não
309,Ensolarado,20,94,Não,Não
310,Nublado,21,98,Não,Sim
311,Ensolarado,18,88,Sim,Não
312,Ensolarado,21,88,Sim,Não
313,Chuvoso,18,75,Sim,Não
314,Chuvoso,29,69,Sim,Não
315,Nublado,18,89,Não,Sim
316,Nublado,27,84,Não,Sim
317,Ensolarado,23,98,Não,Não
318,Ensolarado,22,79,Não,Sim
319,Ensolarado,28,64,Não,Sim
320,Nublado,21,60,Sim,Sim
321,Chuvoso,30,89,Não,Sim
322,Nublado,28,62,Não,Sim
323,Ensolarado,20,73,Não,Sim
324,Chuvoso,18,89,Não,Sim
325,Chuvoso,23,63,Não,Sim
326,Nublado,19,77,Sim,Sim
327,Nublado,25,96,Sim,Sim
328,Nublado,27,84,Sim,Sim
329,Ensolarado,22,60,Não,Sim
330,Ensolarado,24,74,Sim,Sim
331,Chuvoso,27,68,Sim,Não
332,Ensolarado,29,74,Não,Sim
333,Ensolarado,19,83,Não,Sim
334,Ensolarado,30,63,Não,Sim
335,Ensolarado,25,71,Sim,Sim
336,Chuvoso,19,96,Sim,Não
337,Chuvoso,21,96,Não,Sim
338,Nublado,18,65,Não,Sim
339,Ensolarado,22,98,Sim,Não
340,Nublado,26,83,Sim,Sim
341,Nublado,18,70,Não,Sim
342,Ensolarado,26,72,Não,Sim
343,Nublado,28,93,Sim,Sim
344,Ensolarado,25,84,Não,Sim
345,Nublado,23,66,Sim,Sim
346,Nublado,24,63,Sim,Sim
347,Ensolarado,20,67,Sim,Sim
348,Ensolarado,18,79,Sim,Sim
349,Nublado,22,88,Não,Sim
350,Nublado,29,69,Não,Sim
351,Chuvoso,29,93,Sim,Não
352,Nublado,19,85,Sim,Sim
353,Ensolarado,22,62,Sim,Sim
354,Ensolarado,25,65,Sim,Sim
355,Nublado,28,64,Sim,Sim
356,Ensolarado,26,64,Não,Sim
357,Nublado,19,82,Não,Sim
358,Chuvoso,29,68,Não,Sim
359,Nublado,20,94,Não,Sim
360,Ensolarado,20,79,Sim,Sim
361,Nublado,18,94,Sim,Sim
362,Nublado,25,77,Sim,Sim
363,Nublado,23,76,Sim,Sim
364,Chuvoso,29,83,Sim,Não
365,Ensolarado,30,62,Não,Sim
366,Chuvoso,25,91,Sim,Não
367,Chuvoso,28,94,Não,Sim
368,Ensolarado,26,97,Não,Não
369,Ensolarado,22,72,Não,Sim
370,Ensolarado,29,84,Não,Sim
371,Ensolarado,20,68,Sim,Sim
372,Ensolarado,22,63,Não,Sim
373,Nublado,22,73,Não,Sim
374,Ensolarado,22,96,Não,Não
375,Ensolarado,20,93,Sim,Não
376,Chuvoso,28,70,Sim,Não
377,Ensolarado,27,62,Sim,Sim
378,Chuvoso,21,87,Não,Sim
379,Ensolarado,26,88,Não,Não
380,Ensolarado,30,68,Sim,Sim
381,Nublado,27,62,Não,Sim
382,Nublado,26,84,Sim,Sim
383,Chuvoso,19,93,Sim,Não
384,Chuvoso,25,71,Não,Sim
385,Chuvoso,25,68,Não,Sim
386,Ensolarado,24,74,Não,Sim
387,Ensolarado,25,99,Não,Não
388,Chuvoso,20,84,Sim,Não
389,Chuvoso,30,64,Sim,Não
390,Chuvoso,23,70,Sim,Não
391,Nublado,18,93,Sim,Sim
392,Ensolarado,24,83,Sim,Sim
393,Chuvoso,18,74,Não,Sim
394,Ensolarado,26,97,Sim,Não
395,Chuvoso,18,67,Sim,Não
396,Chuvoso,18,64,Sim,Não
397,Nublado,24,85,Não,Sim
398,Chuvoso,19,77,Não,Sim
399,Chuvoso,22,65,Não,Sim
400,Ensolarado,25,96,Não,Não
401,Chuvoso,25,72,Sim,Não
402,Nublado,20,87,Sim,Sim
403,Chuvoso,24,64,Não,Sim
404,Ensolarado,20,72,Não,Sim
405,Chuvoso,23,76,Sim,Não
406,Ensolarado,23,99,Sim,Não
407,Ensolarado,20,91,Não,Não
408,Chuvoso,24,88,Não,Sim
409,Ensolarado,20,62,Não,Sim
410,Ensolarado,25,99,Não,Não
411,Chuvoso,27,93,Sim,Não
412,Chuvoso,21,99,Sim,Não
413,Nublado,30,86,Sim,Sim
414,Nublado,18,72,Não,Sim
415,Nublado,21,92,Não,Sim
416,Ensolarado,24,65,Sim,Sim
417,Ensolarado,28,83,Sim,Sim
418,Nublado,21,78,Sim,Sim
419,Chuvoso,30,75,Sim,Não
420,Chuvoso,23,99,Não,Sim
421,Chuvoso,26,87,Sim,Não
422,Ensolarado,18,92,Sim,Não
423,Nublado,30,72,Sim,Sim
424,Ensolarado,22,84,Sim,Sim
425,Nublado,28,95,Sim,Sim
426,Nublado,24,86,Sim,Sim
427,Chuvoso,18,97,Sim,Não
428,Ensolarado,21,66,Não,Sim
429,Ensolarado,23,64,Não,Sim
430,Ensolarado,19,90,Não,Não
431,Chuvoso,27,82,Não,Sim
432,Nublado,22,69,Sim,Sim
433,Ensolarado,28,91,Não,Não
434,Ensolarado,27,89,Não,Não
435,Chuvoso,18,98,Sim,Não
436,Ensolarado,23,90,Sim,Não
437,Chuvoso,23,77,Não,Sim
438,Chuvoso,30,95,Não,Sim
439,Ensolarado,21,61,Sim,Sim
440,Ensolarado,30,73,Não,Sim
441,Chuvoso,25,72,Sim,Não
442,Ensolarado,21,88,Sim,Não
443,Ensolarado,25,71,Sim,Sim
444,Chuvoso,30,98,Sim,Não
445,Chuvoso,25,61,Não,Sim
446,Chuvoso,22,91,Sim,Não
447,Chuvoso,30,72,Sim,Não
448,Ensolarado,21,86,Não,Não
449,Ensolarado,29,76,Sim,Sim
450,Chuvoso,30,99,Não,Sim
451,Nublado,19,90,Não,Sim
452,Nublado,28,93,Não,Sim
453,Chuvoso,20,83,Sim,Não
454,Ensolarado,20,94,Não,Não
455,Nublado,21,65,Não,Sim
456,Ensolarado,21,78,Sim,Sim
457,Nublado,27,89,Não,Sim
458,Ensolarado,28,66,Não,Sim
459,Ensolarado,28,69,Não,Sim
460,Ensolarado,22,91,Não,Não
461,Nublado,21,93,Não,Sim
462,Chuvoso,28,87,Sim,Não
463,Nublado,27,74,Não,Sim
464,Chuvoso,25,89,Não,Sim
465,Ensolarado,23,96,Sim,Não
466,Ensolarado,23,88,Sim,Não
467,Chuvoso,25,81,Sim,Não
468,Ensolarado,24,63,Não,Sim
469,Chuvoso,27,79,Sim,Não
470,Ensolarado,28,91,Não,Não
471,Chuvoso,29,95,Não,Sim
472,Ensolarado,27,63,Sim,Sim
473,Chuvoso,30,86,Sim,Não
474,Nublado,25,76,Não,Sim
475,Chuvoso,19,71,Sim,Não
476,Ensolarado,26,81,Não,Sim
477,Nublado,18,76,Sim,Sim
478,Chuvoso,25,69,Sim,Não
479,Nublado,29,60,Sim,Sim
480,Nublado,28,81,Não,Sim
481,Nublado,29,85,Sim,Sim
482,Nublado,29,77,Não,Sim
483,Nublado,21,73,Não,Sim
484,Nublado,21,88,Não,Sim
485,Chuvoso,22,71,Não,Sim
486,Ensolarado,25,95,Sim,Não
487,Ensolarado,22,94,Não,Não
488,Chuvoso,25,71,Não,Sim
489,Chuvoso,27,66,Sim,Não
490,Nublado,18,88,Não,Sim
491,Nublado,29,70,Sim,Sim
492,Ensolarado,27,92,Não,Não
493,Ensolarado,26,65,Sim,Sim
494,Nublado,23,74,Não,Sim
495,Ensolarado,20,91,Sim,Não
496,Nublado,30,70,Não,Sim
497,Ensolarado,25,82,Não,Sim
498,Chuvoso,26,85,Sim,Não
499,Chuvoso,23,93,Sim,Não
